refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
HF_WOODS_CROSS,NHT,12.5,11.75,2017,0.94
HF_WOODS_CROSS,REF,8.4,8.0,2019,0.9524
HUNT_TUSCALOOSA,CCR,15.3,7.32,2024,0.4784
HUNT_TUSCALOOSA,CDU,50.0,44.01,2019,0.8802
HUNT_TUSCALOOSA,COKER,34.0,26.07,2019,0.7668
HUNT_TUSCALOOSA,DHCU,20.5,14.45,2024,0.7049
HUNT_TUSCALOOSA,ISOM,4.2,4.49,2019,1.069
HUNT_TUSCALOOSA,NHT,12.1,8.9,2019,0.7355
HUNT_TUSCALOOSA,VDU,25.0,24.75,2022,0.99
MARATHON_ANACORTES,ALKY,17.0,14.39,2021,0.8465
MARATHON_ANACORTES,CCR,28.5,26.0,2017,0.9123
MARATHON_ANACORTES,CDU,125.26,132.22,2017,1.0556
MARATHON_ANACORTES,FCC,51.5,50.86,2022,0.9876
MARATHON_ANACORTES,NHT,46.0,35.99,2017,0.7824
MARATHON_ANACORTES,VDU,47.0,43.94,2017,0.9349
MARATHON_CANTON,ALKY,8.5,7.87,2022,0.9259
MARATHON_CANTON,CCR,22.0,25.08,2024,1.14
MARATHON_CANTON,CDU,102.0,102.87,2018,1.0085
MARATHON_CANTON,FCC,26.0,25.86,2017,0.9946
MARATHON_CANTON,NHT,34.5,38.64,2024,1.12
MARATHON_CANTON,VDU,35.0,34.83,2022,0.9951
MARATHON_CATLETTSBURG,ALKY,21.5,25.91,2023,1.2051
MARATHON_CATLETTSBURG,CCR,24.5,21.5,2024,0.8776
MARATHON_CATLETTSBURG,CDU,306.0,296.94,2024,0.9704
MARATHON_CATLETTSBURG,FCC,104.0,94.73,2023,0.9109
MARATHON_CATLETTSBURG,ISOM,17.0,19.6,2021,1.1529
MARATHON_CATLETTSBURG,NHT,59.0,59.0,2024,1.0
MARATHON_CATLETTSBURG,REF,33.5,38.61,2023,1.1525
MARATHON_CATLETTSBURG,VDU,134.0,103.64,2022,0.7734
MARATHON_DETROIT,ALKY,7.5,7.56,2023,1.008
MARATHON_DETROIT,CCR,21.5,26.32,2024,1.2242
MARATHON_DETROIT,CDU,147.0,140.27,2023,0.9542
MARATHON_DETROIT,COKER,36.5,29.5,2017,0.8082
MARATHON_DETROIT,FCC,44.0,43.66,2023,0.9923
MARATHON_DETROIT,NHT,35.5,46.61,2022,1.313
MARATHON_DETROIT,VDU,89.0,66.54,2018,0.7476
MARATHON_EL_PASO,ALKY,12.5,15.42,2024,1.2336
MARATHON_EL_PASO,CCR,28.0,27.06,2018,0.9664
MARATHON_EL_PASO,CDU,138.0,132.13,2019,0.9575
MARATHON_EL_PASO,FCC,35.0,34.73,2017,0.9923
MARATHON_EL_PASO,NHT,30.5,37.03,2019,1.2141
MARATHON_EL_PASO,VDU,55.5,37.95,2019,0.6838
MARATHON_GARYVILLE,ALKY,38.0,37.3,2024,0.9816
MARATHON_GARYVILLE,CCR,137.0,136.81,2023,0.9986
MARATHON_GARYVILLE,CDU,608.0,601.37,2023,0.9891
MARATHON_GARYVILLE,COKER,103.0,94.17,2023,0.9143
MARATHON_GARYVILLE,DHCU,130.0,99.45,2024,0.765
MARATHON_GARYVILLE,FCC,146.0,145.68,2023,0.9978
MARATHON_GARYVILLE,ISOM,26.5,23.0,2023,0.8679
MARATHON_GARYVILLE,NHT,118.5,139.69,2023,1.1788
MARATHON_GARYVILLE,VDU,297.5,228.53,2023,0.7682
MARATHON_MANDAN,ALKY,4.8,6.73,2023,1.4021
MARATHON_MANDAN,CDU,74.0,73.63,2022,0.995
MARATHON_MANDAN,NHT,29.6,12.73,2018,0.4301
MARATHON_MANDAN,RCC,27.0,23.44,2022,0.8681
MARATHON_MANDAN,REF,12.5,12.5,2024,1.0
MARATHON_NIKISKI,CCR,13.5,13.74,2024,1.0178
MARATHON_NIKISKI,CDU,72.0,66.24,2024,0.92
