month,flow,kbd,source
2024-04,STOCKCH,-49.0,Actual
2024-04,TOTDEMO,113.0,Actual
2024-04,TOTEXPSB,456.0,Actual
2024-04,TOTIMPSB,30.0,Actual
2024-05,ADJFACT,0.0,Actual
2024-05,BALANCE,26.0,Actual
2024-05,BLENDING,149.0,Actual
2024-05,CLOSTLV,44185.0,Actual
2024-05,IPTRANSF,-225.0,Actual
2024-05,PTRANSF,51.0,Actual
2024-05,RECEIPTS,425.0,Actual
2024-05,REFGROUT,422.0,Actual
2024-05,SPR,0.0,Actual
2024-05,STOCKCH,26.0,Actual
2024-05,TOTDEMO,109.0,Actual
2024-05,TOTEXPSB,489.0,Actual
2024-05,TOTIMPSB,53.0,Actual
2024-06,ADJFACT,0.0,Actual
2024-06,BALANCE,11.0,Actual
2024-06,BLENDING,116.0,Actual
2024-06,CLOSTLV,44508.0,Actual
2024-06,IPTRANSF,-209.0,Actual
2024-06,PTRANSF,29.0,Actual
2024-06,RECEIPTS,354.0,Actual
2024-06,REFGROUT,381.0,Actual
2024-06,SPR,0.0,Actual
2024-06,STOCKCH,11.0,Actual
2024-06,TOTDEMO,122.0,Actual
2024-06,TOTEXPSB,390.0,Actual
2024-06,TOTIMPSB,26.0,Actual
2024-07,ADJFACT,0.0,Actual
2024-07,BALANCE,61.0,Actual
2024-07,BLENDING,308.0,Actual
2024-07,CLOSTLV,46412.0,Actual
2024-07,IPTRANSF,-215.0,Actual
2024-07,PTRANSF,24.0,Actual
2024-07,RECEIPTS,547.0,Actual
2024-07,REFGROUT,325.0,Actual
2024-07,SPR,0.0,Actual
2024-07,STOCKCH,61.0,Actual
2024-07,TOTDEMO,120.0,Actual
2024-07,TOTEXPSB,469.0,Actual
2024-07,TOTIMPSB,17.0,Actual
2024-08,ADJFACT,0.0,Actual
2024-08,BALANCE,-36.0,Actual
2024-08,BLENDING,107.0,Actual
2024-08,CLOSTLV,45292.0,Actual
2024-08,IPTRANSF,-239.0,Actual
2024-08,PTRANSF,24.0,Actual
2024-08,RECEIPTS,370.0,Actual
2024-08,REFGROUT,353.0,Actual
2024-08,SPR,0.0,Actual
2024-08,STOCKCH,-36.0,Actual
2024-08,TOTDEMO,131.0,Actual
2024-08,TOTEXPSB,384.0,Actual
2024-08,TOTIMPSB,19.0,Actual
2024-09,ADJFACT,-1.0,Actual
2024-09,BALANCE,-69.0,Actual
2024-09,BLENDING,145.0,Actual
2024-09,CLOSTLV,43193.0,Actual
