padd,refinery,unit,series_label,dataset_id,date,value,frequency,aspect,aspect_subtype,category,category_subtype,country,country_iso,forecast_start_date,lifecycle_stage,release_date,source,sub_region,asset_id
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-01-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-02-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-03-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-04-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-05-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-06-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-07-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-08-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-09-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-10-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-11-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2023-12-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-01-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-02-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-03-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-04-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-05-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-06-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-07-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-08-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-09-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-10-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-11-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2024-12-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-01-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-02-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-03-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-04-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-05-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-06-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-07-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-08-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-09-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-10-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-11-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2025-12-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-01-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-02-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-03-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-04-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-05-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-06-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-07-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-08-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-09-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-10-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-11-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes,kbbl_d,Monthly refinery nameplate capacity for US: Anacortes in kb/d,570350,2026-12-01,122.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2831
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-01-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-02-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-03-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-04-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-05-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-06-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-07-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-08-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-09-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-10-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-11-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2023-12-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2024-01-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
NA,Anacortes (Puget Sound),kbbl_d,Monthly refinery nameplate capacity for US: Anacortes (Puget Sound) in kb/d,570351,2024-02-01,149.0,monthly,capacity,nameplate_capacity,oil_products,,US,US,,actual,2026-07-03T11:10:00,Energy Aspects,,2832
